Feature,RF_Importance,XGB_Importance,Permutation_Importance,RF_Norm,XGB_Norm,PERM_Norm,Ensemble_Score
upper_atmospheric_radiation_lag_25,0.000377167192251724,0.0046593314,0.00021880645545686584,0.0002762715043147903,0.0071581877,7.001193304052123e-05,0.002501490373675675
upper_atmospheric_radiation_lag_62,0.0002055021115244924,0.0046907794,0.0001521691096038058,8.662437350836866e-05,0.007216718,3.329932824991932e-05,0.0024455472498718573
upper_atmospheric_radiation_lag_72,0.00032890653550803766,0.004538475,0.00023932051559555356,0.0002229555064222625,0.006933251,8.131377246526325e-05,0.0024125067363492698
surface_radiation_lag_71,0.001064848621563558,0.003688794,0.000874988918507491,0.0010359880956294506,0.005351834,0.00043152344176149946,0.0022731151788493004
upper_atmospheric_radiation_lag_35,0.00021082775724770534,0.0043748664,0.00015727139545161916,9.250788474326949e-05,0.0066287443,3.6110337624039686e-05,0.002252454175515818
upper_atmospheric_radiation_lag_22,0.0006791011329435352,0.0039724302,0.0004525781942882667,0.0006098332589983965,0.0058797346,0.00019880411929976615,0.002229457340367277
upper_atmospheric_radiation_lag_47,0.00026173913086550206,0.004250898,0.00017810955482002732,0.0001487522641541911,0.0063980157,4.7590733484086047e-05,0.00219811955107182
output_hybrid_lag_71,0.0013848044691709767,0.0031504335,0.0010876891717009562,0.0013894595659274752,0.004349843,0.0005487066853974563,0.0020960031281886233
upper_atmospheric_radiation_lag_38,0.00017957990989319174,0.004129668,0.00012535070917931712,5.7986801191764933e-05,0.006172384,1.852422994286164e-05,0.002082965055519906
upper_atmospheric_radiation_lag_59,0.0001920063345323704,0.003911941,0.00013964832069160993,7.171490343025717e-05,0.005767152,2.640123275833711e-05,0.001955089438407053
output_hybrid_lag_25,0.0013125290401451758,0.0027769473,0.001227740356283946,0.0013096132297682544,0.0036547144,0.0006258652775386953,0.0018633976494112862
output_hybrid_lag_23,0.0012556206417149852,0.00286451,0.0009560028578642577,0.0012467436325539953,0.0038176854,0.00047615656302495965,0.0018468618698948695
surface_radiation_lag_37,0.000261909244063883,0.0036364577,0.00024068143406540398,0.00014894019684177424,0.005254426,8.206354515347956e-05,0.001828476593916866
output_hybrid_lag_49,0.0013166849152799216,0.0026959453,0.0012165711244807365,0.0013142044360401148,0.0035039545,0.0006197117972678868,0.0018126235789977458
surface_radiation_lag_48,0.0006459929156375007,0.0033207717,0.0004459214208409112,0.0005732569303029769,0.0046668747,0.0001951366939300309,0.0018117560916996003
surface_radiation_lag_72,0.0007316549616713249,0.0031830634,0.0005796804028823877,0.0006678921419633837,0.0044105733,0.00026882871425314294,0.0017824313791880927
surface_radiation_lag_59,0.0003111653420641245,0.0034163436,0.00025283801878011046,0.0002033559092329775,0.004844752,8.87609891245917e-05,0.0017122896795669195
surface_radiation_lag_14,0.00029103830425095595,0.0033254602,0.00022357532650187916,0.00018112054863005515,0.0046756007,7.263925373782179e-05,0.0016431201600321766
output_hybrid_lag_72,0.0013216804192751482,0.0024565423,0.0010505289200898106,0.001319723222945485,0.0030583802,0.0005282339367629656,0.0016354457914019658
output_hybrid_lag_24,0.0010346301348244866,0.002530832,0.0008325059119598244,0.0010026041990146063,0.0031966474,0.00040811822041399555,0.0015357899367172767
surface_radiation_lag_24,0.0005235461251561935,0.0029389225,0.0003545524966043878,0.0004379837437419126,0.003956181,0.00014479868657549732,0.00151298780917009
upper_atmospheric_radiation_lag_36,0.00012709132825543994,0.0032003536,9.396847358053017e-05,0.0,0.0044427537,1.2347716333374837e-06,0.0014813295025210215
output_hybrid_lag_48,0.0009067798861896422,0.0025766871,0.0006364471400796435,0.0008613615378760117,0.0032819924,0.0003001032910133023,0.0014811524077888143
upper_atmospheric_radiation_lag_1,0.00041830279209649577,0.0029367215,0.0002666918119955897,0.0003217160900832722,0.0039520846,9.639347851413204e-05,0.001456731381148606
surface_radiation_lag_25,0.0005576196176640592,0.0025805545,0.0004175294941672791,0.000475626460963702,0.0032891901,0.00017949469063789438,0.0013147704241988805
upper_atmospheric_radiation_lag_14,0.00018499879639795018,0.0028682803,0.00014422607290630606,6.397332025224882e-05,0.0038247025,2.8923260095050492e-05,0.0013058663481304645
surface_radiation_lag_1,0.0008293627362360442,0.0022745784,0.0008168019852728081,0.000775834881541988,0.0027197108,0.00039946643444112225,0.0012983373766061246
upper_atmospheric_radiation_lag_61,0.00016198612170227657,0.0028673727,0.00011730157051598189,3.855005006982478e-05,0.0038230133,1.4089706885725051e-05,0.0012918843448933117
surface_radiation_lag_60,0.00019489208544760803,0.0024166415,0.0001448347726015764,7.490293898750842e-05,0.002984117,2.9258611857077394e-05,0.001029426189634494
surface_radiation_lag_12,0.00020397172959719484,0.0021894649,0.00017435272614065855,8.493368288963328e-05,0.0025612984,4.5520978682089666e-05,0.000897251031133447
surface_radiation_lag_61,0.00022586649697360796,0.002068039,0.00015640103403431472,0.0001091219440958164,0.002335302,3.5630828208869625e-05,0.0008266849461208689
upper_atmospheric_radiation_lag_24,0.0002491455883534343,0.0016969463,0.00017305476732984993,0.0001348395383162713,0.0016446282,4.480589244560042e-05,0.0006080912232087049
upper_atmospheric_radiation_lag_48,0.0002712168022986997,0.001646047,0.0001771627829823763,0.00015922272900596797,0.0015498949,4.7069127170725386e-05,0.0005853955925527675
upper_atmospheric_radiation_lag_37,0.00015371935317432772,0.0016466615,0.0001244155490927601,2.9417331139890268e-05,0.0015510387,1.8009020907534543e-05,0.0005328216846886613
surface_radiation_lag_13,0.0001729050838573244,0.0008133026,0.00012477346813497548,5.0612781962160275e-05,0.0,1.8206209738747286e-05,2.2939663900302523e-05
