Feature,RF_Importance,XGB_Importance,Permutation_Importance,RF_Norm,XGB_Norm,PERM_Norm,Ensemble_Score,Cumulative_Contribution
upper_atmospheric_radiation_lag_70,0.0004721242321326,0.01011207,0.0003743636033365,0.0003811753676223,0.017306766,0.0001557132469111,0.0059478847186559,0.912306178686606
upper_atmospheric_radiation_lag_23,0.0002841384160682,0.0101187695,0.0001992303137953,0.0001734978918195,0.017319236,5.922682233505607e-05,0.0058506535549543,0.9167682021801982
surface_radiation_lag_2,0.0016340325660876,0.008897516,0.0014007780987129,0.0016647944989049,0.015046251,0.0007211971994562,0.0058107475682618,0.9211997912191633
upper_atmospheric_radiation_lag_60,0.0001272516695364,0.009205687,9.17272296031668e-05,1.7713715427146676e-07,0.015619815,0.0,0.0052066641547937,0.9251706737135234
surface_radiation_lag_26,0.001297029003053,0.0074793682,0.0011817896244971,0.0012924895517933,0.01240681,0.0006005495775459,0.0047666164387142,0.9288059521204074
upper_atmospheric_radiation_lag_49,0.0003596613416868,0.007554832,0.0002195923804452,0.0002569319023532,0.012547262,7.044492377754451e-05,0.0042915462796964,0.9320789164386635
surface_radiation_lag_49,0.0007314324837975,0.006593649,0.0005287318075317,0.00066764635936,0.010758318,0.0002407595343991,0.0038889079669171,0.9350448070951198
surface_radiation_lag_62,0.0003808678563555,0.0067071724,0.000316929805925,0.0002803598158478,0.010969607,0.0001240711657478,0.0037913460470303,0.9379362917771792
upper_atmospheric_radiation_lag_12,0.0001379006616262,0.0065088435,0.0001271281742057,1.1941619408105534e-05,0.010600479,1.9503491199562327e-05,0.0035439748100997,0.940639117831539
wind_velocity_lag_3,0.0021658646031457,0.0046480447,0.002218277653138,0.0022523363534959,0.007137181,0.0011715833556557,0.0035203668269434,0.9433239391665132
upper_atmospheric_radiation_lag_71,0.0003178388463963,0.0062930556,0.0002933241642807,0.0002107284683094,0.010198858,0.0001110660770633,0.0035068840602108,0.9459984778174497
surface_radiation_lag_50,0.0014366797244932,0.00504334,0.0011477156979949,0.0014467687943974,0.0078729,0.0005817771822573,0.0033004819903029,0.9485156031338922
surface_radiation_lag_36,0.0002599743848182,0.0058570825,0.0002075849476018,0.0001468026595925,0.009387429,6.382965225245432e-05,0.003199353728044,0.9509556025911758
upper_atmospheric_radiation_lag_13,0.0001548424970679,0.005846839,0.0001245985176696,3.065812522574316e-05,0.009368364,1.810982403778031e-05,0.0031390439057086,0.9533496065299031
upper_atmospheric_radiation_lag_46,0.0005078143016358,0.0053305146,0.0003510031745098,0.0004206039995309,0.008407387,0.0001428432536622,0.0029902780681139,0.9556301536289531
output_hybrid_lag_47,0.0013743330174019,0.0039403928,0.0012585503335961,0.0013778912214804,0.0058201067,0.0006428394608017,0.0026136124657487,0.9576234352539506
upper_atmospheric_radiation_lag_25,0.0003771671922517,0.0046593314,0.0002188064554568,0.0002762715043147,0.0071581877,7.001193304052123e-05,0.0025014903736756,0.9595312065330897
upper_atmospheric_radiation_lag_62,0.0002055021115244,0.0046907794,0.0001521691096038,8.662437350836866e-05,0.007216718,3.329932824991932e-05,0.0024455472498718,0.9613963125731453
upper_atmospheric_radiation_lag_72,0.000328906535508,0.004538475,0.0002393205155955,0.0002229555064222,0.006933251,8.131377246526325e-05,0.0024125067363492,0.9632362201381598
surface_radiation_lag_71,0.0010648486215635,0.003688794,0.0008749889185074,0.0010359880956294,0.005351834,0.0004315234417614,0.0022731151788493,0.9649698201943583
upper_atmospheric_radiation_lag_35,0.0002108277572477,0.0043748664,0.0001572713954516,9.250788474326948e-05,0.0066287443,3.6110337624039686e-05,0.0022524541755158,0.9666876630566963
upper_atmospheric_radiation_lag_22,0.0006791011329435,0.0039724302,0.0004525781942882,0.0006098332589983,0.0058797346,0.0001988041192997,0.0022294573403672,0.9683879672940333
upper_atmospheric_radiation_lag_47,0.0002617391308655,0.004250898,0.00017810955482,0.0001487522641541,0.0063980157,4.7590733484086047e-05,0.0021981195510718,0.970064371645527
